Company_name,Job_Title,Link_of_Job,Location,Time
techorphic,AI Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_0d146925&cb=1735046388302&jobListingId=1009538900112&jrtk=5-yul1-0-1ifsd5me82dih000-9ffdd262a8ee8b05,Lahore,30d+
Sadiq Gelatin Industries Private Limited,Expert Website Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_6a2051d0&cb=1735046388302&jobListingId=1009512491614&jrtk=5-yul1-0-1ifsd5me82dih000-d9b644c641eb1455,Lahore,30d+
Txend,UI/UX Designer (1-1.5 years),https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_b436b31a&cb=1735046388301&jobListingId=1009567231495&jrtk=5-yul1-0-1ifsd5me82dih000-2d535fba76796dfa,Lahore,8d
Digixvalley LLC,Associate AI/ML Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_11da41a1&cb=1735046388302&jobListingId=1009506659455&jrtk=5-yul1-0-1ifsd5me82dih000-9fab8e5cbbd84529,Lahore,30d+
Akbari Chemicals Industries,Senior Chemist (Chemical/Fertilizer Sector),https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_7c6b89cf&cb=1735046388301&jobListingId=1009572790239&jrtk=5-yul1-0-1ifsd5me82dih000-7bb817e7eef6ab19,Lahore,4d
Transcure,AI/ML Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_a16e38e4&cb=1735046388302&jobListingId=1009533292414&jrtk=5-yul1-0-1ifsd5me82dih000-1e6519283d14ae29,Lahore,30d+
Smart Placement (Pvt) Ltd,Python Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_278c7a04&cb=1735046398469&jobListingId=1009474257678&jrtk=5-yul1-0-1ifsd60c2kuq6806-412aba884b11dd51,Lahore,30d+
Digixvalley Pvt Ltd,Associate AI / ML Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_3edbab3f&cb=1735046398469&jobListingId=1009506655415&jrtk=5-yul1-0-1ifsd60c2kuq6806-a786e0a405e3b10d,Lahore,30d+
AxcelerateAI,Python Backend Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_4f3031f1&cb=1735046398471&jobListingId=1009557251132&jrtk=5-yul1-0-1ifsd60c2kuq6806-51088f3ff562a5d2,Lahore,15d
Crossover,"Head of Learning, 2 Hour Learning (Remote) - $200,000/year USD",https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1110586&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_12ab2489&cb=1735046398470&jobListingId=1009570781977&cpc=9908D8D4413DBB8A&jrtk=5-yul1-0-1ifsd60c2kuq6806-4051f8e9d08d791b---6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zEsIRmf-ziQx7Q1ppMW-OD59Rn483C9WyffvZjAxK1RPal8jN1w3hxKNVNZq6rZI5b2fur9oLy1_dtEE-um7npkjwFXPYqG4DeRSgRFgFR0cmGJpkIhAvbzLcqjp3VVfa8EqrZMlUpmMZAigYx408AHC9U0xl_H_onK1UPCgB-4RXIwnq7zPuLX1z0xME7R95iHXVXmgmJI4LSeBWBzDeXLnEVH4I8SYbXgF_JcmYeDOfVisGYWB4P9QbelvCuSKwmPUB5BH9ODShrVG9S1Po6N7Rjxb2bDetQXRR-B7ZVKdQqFJNuQN6_nsBxjFIUOblDDnving8igFYVnX1vgiE5Oh6WNtS-fnqp1Ufxgg_1tUQ2Jmrz0qVLGknM3DwB96WkdbFNICkxDhV6EXfT70htpaWfnvFumeDAV-KmVbFs5a4lA67H0ZJ4vX8p1ACYOFGN7R5Prn-4PXfFkzNAGmMgPOKJjBmuKKHjVsGEqkK2hLXnXCSYGmCF0QHw_1hdj3Eo6RPB0RE5LHGgzupi_H3ZJUgOZE3xO-hLG1guFZtX0XDOXWvwAfFmc_Sb7GJ8Pt5xsA3CWinBQCgMcdllGLgE_GMIrgiIM3zUXNHlPtuZxSvAmmgHDDYisIoZrVX8Vkp_QGCyt0E43zLlhMWpFtH8TB0rF7oYKcFo6JztLnR-hZvDwsMSiQUXWzJbVPpK0yK7EwSrriG23smvGpxafNwauNJThFxIoFY2ihxsYSRM0oJvKJh4GczlrS3v0DIUfNaP9jEiD6L-XD6XBzQk7LE31ekYrvKBGsQQlAeOLaGuXjlYnYzb_bfblYlox-HyoMtDvG5HfOOt4zifQ8ojsWZvJTFRBtM_-nsOEGO7lFwmV2R,Pakistan,5d
