Company_name,Job_Title,Link_of_Job,Location,Time
Game District,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_fcd3b6ba&cb=1734701802763&jobListingId=1009555391910&jrtk=5-yul1-0-1ifi4hp4223b8000-b23e0a36a2e9b1cb,Lahore,14d
Insights Driven Research,Research Analyst Healthcare US,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_ef9302b2&cb=1734701802761&jobListingId=1009519029846&jrtk=5-yul1-0-1ifi4hp4223b8000-bbe5e6745f7e08bb,Lahore,30d+
"Burq, Inc.",Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_c76741be&cb=1734701802764&jobListingId=1009237794180&jrtk=5-yul1-0-1ifi4hp4223b8000-628c5289cfeedcc1,Lahore,30d+
Insights Driven Research,Research Analyst - US Operations,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_8606b125&cb=1734701802763&jobListingId=1009531755599&jrtk=5-yul1-0-1ifi4hp4223b8000-9ecc42442b88a43b,Lahore,30d+
Regrain,Accountant / Financial Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_2a8c788e&cb=1734701802763&jobListingId=1009568614325&jrtk=5-yul1-0-1ifi4hp4223b8000-70b084e0b8b65e83,Lahore,3d
NAQSHA(PVT)LTD.,Data Coordinator,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_40ce9e18&cb=1734701802764&jobListingId=1009483093060&jrtk=5-yul1-0-1ifi4hp4223b8000-e9617b909bc41944,Lahore,30d+
Ecom spot,Supply Chain Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_6bf6ddf4&cb=1734701802763&jobListingId=1009554463539&jrtk=5-yul1-0-1ifi4hp4223b8000-f72e04c8075d3a53,Lahore,14d
Genx Integrated Systems,Application Analyst (EHR - Cerner & Epic),https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_1ab8964a&cb=1734701802764&jobListingId=1009567467649&jrtk=5-yul1-0-1ifi4hp4223b8000-b0568af3b8bffd12,Lahore,4d
Gourmet Foods,Sales Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_c53bd948&cb=1734701802764&jobListingId=1009559584082&jrtk=5-yul1-0-1ifi4hp4223b8000-7a583439a23cc4ac,Lahore,10d
Al Fatah Travel & Tour,Finance Reporting Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_77ba5fdd&cb=1734701802765&jobListingId=1009512077509&jrtk=5-yul1-0-1ifi4hp4223b8000-e7c3b9bd2fa54394,Lahore,30d+
confidentioal,Sales Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_ce751799&cb=1734701802764&jobListingId=1009548172653&jrtk=5-yul1-0-1ifi4hp4223b8000-08d547fc23937b66,Lahore,19d
Smart Placement (Pvt) Ltd,Power BI Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_27c41e45&cb=1734701802764&jobListingId=1009570382327&jrtk=5-yul1-0-1ifi4hp4223b8000-79a6b3305695f67b,Lahore,2d
Vivo mobile Company,Business Analyst (Female),https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_2ec25a90&cb=1734701802764&jobListingId=1009541305167&jrtk=5-yul1-0-1ifi4hp4223b8000-e501a19db813915d,Lahore,24d
Happy Tenant,Senior Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_8295432c&cb=1734701802765&jobListingId=1009531664508&jrtk=5-yul1-0-1ifi4hp4223b8000-aed7b34cd48be891,Lahore,30d+
Compass Training and Consultancy Pvt. Ltd.,SQA Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_69b097aa&cb=1734701802765&jobListingId=1009522833102&jrtk=5-yul1-0-1ifi4hp4223b8000-9eb181e98bd80660,Lahore,30d+
OPT Link Hub,Market Analyst (SEO),https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=00000193e448e3c89db39482c82284d6&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_44f535e4&cb=1734701802765&jobListingId=1009525920927&jrtk=5-yul1-0-1ifi4hp4223b8000-5e283d572ffdaa82,Lahore,30d+
